"department","date","shift","staff_type","subclass","total"
"Γαστρεντερολογία","2024-01-03","NIGHT","DOCTOR","Μαιευτική","3"
"Γαστρεντερολογία","2024-01-03","NIGHT","NURSE","HEAD_NURSE","2"
"Γαστρεντερολογία","2024-01-03","NIGHT","NURSE","NURSE_ASSISTANT","1"
"Γαστρεντερολογία","2024-01-03","NIGHT","NURSE","NURSE","3"
"Γαστρεντερολογία","2024-01-03","NIGHT","ADMINISTRATIVE","Διαχειριστής","1"
"Γαστρεντερολογία","2024-01-03","NIGHT","ADMINISTRATIVE","Τεχνικός","1"
"Γαστρεντερολογία","2024-01-04","MORNING","DOCTOR","Μαιευτική","1"
"Γαστρεντερολογία","2024-01-04","MORNING","DOCTOR","Νεφρολογία","1"
"Γαστρεντερολογία","2024-01-04","MORNING","DOCTOR","Ωτορινολαρυγγολογία","1"
"Γαστρεντερολογία","2024-01-04","MORNING","NURSE","NURSE","1"
"Γαστρεντερολογία","2024-01-04","MORNING","NURSE","HEAD_NURSE","3"
"Γαστρεντερολογία","2024-01-04","MORNING","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-04","MORNING","ADMINISTRATIVE","Διαχειριστής","2"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","DOCTOR","Νεφρολογία","1"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","DOCTOR","Νευρολογία","1"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","DOCTOR","Ορθοπεδική","1"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","NURSE","NURSE_ASSISTANT","1"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","NURSE","NURSE","1"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","NURSE","HEAD_NURSE","4"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Γαστρεντερολογία","2024-01-04","AFTERNOON","ADMINISTRATIVE","Γραμματέας","1"
"Γαστρεντερολογία","2024-01-04","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Γαστρεντερολογία","2024-01-04","NIGHT","DOCTOR","Νεφρολογία","1"
"Γαστρεντερολογία","2024-01-04","NIGHT","DOCTOR","Παιδιατρική","1"
"Γαστρεντερολογία","2024-01-04","NIGHT","NURSE","HEAD_NURSE","3"
"Γαστρεντερολογία","2024-01-04","NIGHT","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-04","NIGHT","NURSE","NURSE","1"
"Γαστρεντερολογία","2024-01-04","NIGHT","ADMINISTRATIVE","Λογιστής","1"
"Γαστρεντερολογία","2024-01-04","NIGHT","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Γαστρεντερολογία","2024-01-05","MORNING","DOCTOR","Πνευμονολογία","2"
"Γαστρεντερολογία","2024-01-05","MORNING","DOCTOR","Ενδοκρινολογία","1"
"Γαστρεντερολογία","2024-01-05","MORNING","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-05","MORNING","NURSE","HEAD_NURSE","2"
"Γαστρεντερολογία","2024-01-05","MORNING","NURSE","NURSE","2"
"Γαστρεντερολογία","2024-01-05","MORNING","ADMINISTRATIVE","Γραμματέας","1"
"Γαστρεντερολογία","2024-01-05","MORNING","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","DOCTOR","Ουρολογία","1"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","DOCTOR","Χειρουργική","1"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","DOCTOR","Ορθοπεδική","1"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","NURSE","NURSE","1"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","NURSE","NURSE_ASSISTANT","3"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","NURSE","HEAD_NURSE","2"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","ADMINISTRATIVE","Διαχειριστής","1"
"Γαστρεντερολογία","2024-01-05","AFTERNOON","ADMINISTRATIVE","Γραμματέας","1"
"Γαστρεντερολογία","2024-01-05","NIGHT","DOCTOR","Μαιευτική","1"
"Γαστρεντερολογία","2024-01-05","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Γαστρεντερολογία","2024-01-05","NIGHT","DOCTOR","Ορθοπεδική","1"
"Γαστρεντερολογία","2024-01-05","NIGHT","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-05","NIGHT","NURSE","HEAD_NURSE","2"
"Γαστρεντερολογία","2024-01-05","NIGHT","NURSE","NURSE","2"
"Γαστρεντερολογία","2024-01-05","NIGHT","ADMINISTRATIVE","Λογιστής","2"
"Γαστρεντερολογία","2024-01-06","MORNING","DOCTOR","Μαιευτική","1"
"Γαστρεντερολογία","2024-01-06","MORNING","DOCTOR","Χειρουργική","1"
"Γαστρεντερολογία","2024-01-06","MORNING","DOCTOR","Νεφρολογία","1"
"Γαστρεντερολογία","2024-01-06","MORNING","NURSE","HEAD_NURSE","4"
"Γαστρεντερολογία","2024-01-06","MORNING","NURSE","NURSE","2"
"Γαστρεντερολογία","2024-01-06","MORNING","ADMINISTRATIVE","Τεχνικός","1"
"Γαστρεντερολογία","2024-01-06","MORNING","ADMINISTRATIVE","Διαχειριστής","1"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","DOCTOR","Μαιευτική","1"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","DOCTOR","Νευρολογία","1"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","DOCTOR","Παιδιατρική","1"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","NURSE","NURSE_ASSISTANT","1"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","NURSE","HEAD_NURSE","3"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","NURSE","NURSE","2"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Γαστρεντερολογία","2024-01-06","AFTERNOON","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Γαστρεντερολογία","2024-01-06","NIGHT","DOCTOR","Μαιευτική","1"
"Γαστρεντερολογία","2024-01-06","NIGHT","DOCTOR","Γαστρεντερολογία","1"
"Γαστρεντερολογία","2024-01-06","NIGHT","DOCTOR","Πνευμονολογία","1"
"Γαστρεντερολογία","2024-01-06","NIGHT","NURSE","HEAD_NURSE","4"
"Γαστρεντερολογία","2024-01-06","NIGHT","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-06","NIGHT","ADMINISTRATIVE","Λογιστής","2"
"Γαστρεντερολογία","2024-01-07","MORNING","DOCTOR","Παιδιατρική","1"
"Γαστρεντερολογία","2024-01-07","MORNING","DOCTOR","Γαστρεντερολογία","2"
"Γαστρεντερολογία","2024-01-07","MORNING","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-07","MORNING","NURSE","NURSE","1"
"Γαστρεντερολογία","2024-01-07","MORNING","NURSE","HEAD_NURSE","3"
"Γαστρεντερολογία","2024-01-07","MORNING","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Γαστρεντερολογία","2024-01-07","MORNING","ADMINISTRATIVE","Τεχνικός","1"
"Γαστρεντερολογία","2024-01-07","AFTERNOON","DOCTOR","Παθολογία","2"
"Γαστρεντερολογία","2024-01-07","AFTERNOON","DOCTOR","Ορθοπεδική","1"
"Γαστρεντερολογία","2024-01-07","AFTERNOON","NURSE","HEAD_NURSE","1"
"Γαστρεντερολογία","2024-01-07","AFTERNOON","NURSE","NURSE","4"
"Γαστρεντερολογία","2024-01-07","AFTERNOON","NURSE","NURSE_ASSISTANT","1"
"Γαστρεντερολογία","2024-01-07","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Γαστρεντερολογία","2024-01-07","AFTERNOON","ADMINISTRATIVE","Τεχνικός","1"
"Γαστρεντερολογία","2024-01-07","NIGHT","DOCTOR","Παθολογία","2"
"Γαστρεντερολογία","2024-01-07","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Γαστρεντερολογία","2024-01-07","NIGHT","NURSE","HEAD_NURSE","1"
"Γαστρεντερολογία","2024-01-07","NIGHT","NURSE","NURSE","2"
"Γαστρεντερολογία","2024-01-07","NIGHT","NURSE","NURSE_ASSISTANT","3"
"Γαστρεντερολογία","2024-01-07","NIGHT","ADMINISTRATIVE","Γραμματέας","1"
"Γαστρεντερολογία","2024-01-07","NIGHT","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Επείγοντα","2024-01-01","MORNING","DOCTOR","Ουρολογία","1"
"Επείγοντα","2024-01-01","MORNING","DOCTOR","Νευρολογία","1"
"Επείγοντα","2024-01-01","MORNING","DOCTOR","Μαιευτική","1"
"Επείγοντα","2024-01-01","MORNING","NURSE","NURSE_ASSISTANT","2"
"Επείγοντα","2024-01-01","MORNING","NURSE","NURSE","4"
"Επείγοντα","2024-01-01","MORNING","ADMINISTRATIVE","Τεχνικός","2"
"Επείγοντα","2024-01-01","AFTERNOON","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-01","AFTERNOON","DOCTOR","Μαιευτική","1"
"Επείγοντα","2024-01-01","AFTERNOON","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-01","AFTERNOON","NURSE","HEAD_NURSE","1"
"Επείγοντα","2024-01-01","AFTERNOON","NURSE","NURSE_ASSISTANT","2"
"Επείγοντα","2024-01-01","AFTERNOON","NURSE","NURSE","3"
"Επείγοντα","2024-01-01","AFTERNOON","ADMINISTRATIVE","Λογιστής","2"
"Επείγοντα","2024-01-01","NIGHT","DOCTOR","Χειρουργική","1"
"Επείγοντα","2024-01-01","NIGHT","DOCTOR","Γαστρεντερολογία","1"
"Επείγοντα","2024-01-01","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-01","NIGHT","NURSE","HEAD_NURSE","1"
"Επείγοντα","2024-01-01","NIGHT","NURSE","NURSE_ASSISTANT","1"
"Επείγοντα","2024-01-01","NIGHT","NURSE","NURSE","4"
"Επείγοντα","2024-01-01","NIGHT","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Επείγοντα","2024-01-01","NIGHT","ADMINISTRATIVE","Γραμματέας","1"
"Επείγοντα","2024-01-02","MORNING","DOCTOR","Ορθοπεδική","1"
"Επείγοντα","2024-01-02","MORNING","DOCTOR","Ουρολογία","1"
"Επείγοντα","2024-01-02","MORNING","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-02","MORNING","NURSE","HEAD_NURSE","3"
"Επείγοντα","2024-01-02","MORNING","NURSE","NURSE","3"
"Επείγοντα","2024-01-02","MORNING","ADMINISTRATIVE","Διαχειριστής","1"
"Επείγοντα","2024-01-02","MORNING","ADMINISTRATIVE","Γραμματέας","1"
"Επείγοντα","2024-01-02","AFTERNOON","DOCTOR","Νεφρολογία","1"
"Επείγοντα","2024-01-02","AFTERNOON","DOCTOR","Παθολογία","1"
"Επείγοντα","2024-01-02","AFTERNOON","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-02","AFTERNOON","NURSE","NURSE","5"
"Επείγοντα","2024-01-02","AFTERNOON","NURSE","HEAD_NURSE","1"
"Επείγοντα","2024-01-02","AFTERNOON","ADMINISTRATIVE","Γραμματέας","1"
"Επείγοντα","2024-01-02","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-02","NIGHT","DOCTOR","Γαστρεντερολογία","1"
"Επείγοντα","2024-01-02","NIGHT","DOCTOR","Ουρολογία","1"
"Επείγοντα","2024-01-02","NIGHT","DOCTOR","Ορθοπεδική","1"
"Επείγοντα","2024-01-02","NIGHT","NURSE","NURSE","5"
"Επείγοντα","2024-01-02","NIGHT","NURSE","NURSE_ASSISTANT","1"
"Επείγοντα","2024-01-02","NIGHT","ADMINISTRATIVE","Υπεύθυνος Αρχείου","2"
"Επείγοντα","2024-01-03","MORNING","DOCTOR","Ωτορινολαρυγγολογία","1"
"Επείγοντα","2024-01-03","MORNING","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-03","MORNING","DOCTOR","Νευρολογία","1"
"Επείγοντα","2024-01-03","MORNING","NURSE","NURSE_ASSISTANT","2"
"Επείγοντα","2024-01-03","MORNING","NURSE","HEAD_NURSE","3"
"Επείγοντα","2024-01-03","MORNING","NURSE","NURSE","1"
"Επείγοντα","2024-01-03","MORNING","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-03","MORNING","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Επείγοντα","2024-01-03","AFTERNOON","DOCTOR","Καρδιολογία","1"
"Επείγοντα","2024-01-03","AFTERNOON","DOCTOR","Γαστρεντερολογία","1"
"Επείγοντα","2024-01-03","AFTERNOON","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-03","AFTERNOON","NURSE","NURSE_ASSISTANT","2"
"Επείγοντα","2024-01-03","AFTERNOON","NURSE","HEAD_NURSE","4"
"Επείγοντα","2024-01-03","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-03","AFTERNOON","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-03","NIGHT","DOCTOR","Ωτορινολαρυγγολογία","1"
"Επείγοντα","2024-01-03","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-03","NIGHT","DOCTOR","Παιδιατρική","1"
"Επείγοντα","2024-01-03","NIGHT","NURSE","NURSE_ASSISTANT","1"
"Επείγοντα","2024-01-03","NIGHT","NURSE","NURSE","3"
"Επείγοντα","2024-01-03","NIGHT","NURSE","HEAD_NURSE","2"
"Επείγοντα","2024-01-03","NIGHT","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-03","NIGHT","ADMINISTRATIVE","Γραμματέας","1"
"Επείγοντα","2024-01-04","MORNING","DOCTOR","Πνευμονολογία","1"
"Επείγοντα","2024-01-04","MORNING","DOCTOR","Ορθοπεδική","1"
"Επείγοντα","2024-01-04","MORNING","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-04","MORNING","NURSE","NURSE","2"
"Επείγοντα","2024-01-04","MORNING","NURSE","NURSE_ASSISTANT","3"
"Επείγοντα","2024-01-04","MORNING","NURSE","HEAD_NURSE","1"
"Επείγοντα","2024-01-04","MORNING","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-04","MORNING","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-04","AFTERNOON","DOCTOR","Νευρολογία","1"
"Επείγοντα","2024-01-04","AFTERNOON","DOCTOR","Παιδιατρική","1"
"Επείγοντα","2024-01-04","AFTERNOON","DOCTOR","Καρδιολογία","1"
"Επείγοντα","2024-01-04","AFTERNOON","NURSE","HEAD_NURSE","1"
"Επείγοντα","2024-01-04","AFTERNOON","NURSE","NURSE","1"
"Επείγοντα","2024-01-04","AFTERNOON","NURSE","NURSE_ASSISTANT","4"
"Επείγοντα","2024-01-04","AFTERNOON","ADMINISTRATIVE","Διαχειριστής","1"
"Επείγοντα","2024-01-04","AFTERNOON","ADMINISTRATIVE","Γραμματέας","1"
"Επείγοντα","2024-01-04","NIGHT","DOCTOR","Ωτορινολαρυγγολογία","1"
"Επείγοντα","2024-01-04","NIGHT","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-04","NIGHT","DOCTOR","Ουρολογία","1"
"Επείγοντα","2024-01-04","NIGHT","NURSE","NURSE","2"
"Επείγοντα","2024-01-04","NIGHT","NURSE","NURSE_ASSISTANT","2"
"Επείγοντα","2024-01-04","NIGHT","NURSE","HEAD_NURSE","2"
"Επείγοντα","2024-01-04","NIGHT","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-04","NIGHT","ADMINISTRATIVE","Γραμματέας","1"
"Επείγοντα","2024-01-05","MORNING","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-05","MORNING","DOCTOR","Ωτορινολαρυγγολογία","2"
"Επείγοντα","2024-01-05","MORNING","NURSE","NURSE_ASSISTANT","1"
"Επείγοντα","2024-01-05","MORNING","NURSE","HEAD_NURSE","2"
"Επείγοντα","2024-01-05","MORNING","NURSE","NURSE","3"
"Επείγοντα","2024-01-05","MORNING","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-05","MORNING","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-05","AFTERNOON","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-05","AFTERNOON","DOCTOR","Πνευμονολογία","1"
"Επείγοντα","2024-01-05","AFTERNOON","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-05","AFTERNOON","NURSE","HEAD_NURSE","4"
"Επείγοντα","2024-01-05","AFTERNOON","NURSE","NURSE","2"
"Επείγοντα","2024-01-05","AFTERNOON","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-05","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-05","NIGHT","DOCTOR","Ωτορινολαρυγγολογία","1"
"Επείγοντα","2024-01-05","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-05","NIGHT","DOCTOR","Παιδιατρική","1"
"Επείγοντα","2024-01-05","NIGHT","NURSE","NURSE","2"
"Επείγοντα","2024-01-05","NIGHT","NURSE","HEAD_NURSE","3"
"Επείγοντα","2024-01-05","NIGHT","NURSE","NURSE_ASSISTANT","1"
"Επείγοντα","2024-01-05","NIGHT","ADMINISTRATIVE","Υπεύθυνος Αρχείου","2"
"Επείγοντα","2024-01-06","MORNING","DOCTOR","Παθολογία","1"
"Επείγοντα","2024-01-06","MORNING","DOCTOR","Μαιευτική","1"
"Επείγοντα","2024-01-06","MORNING","DOCTOR","Ωτορινολαρυγγολογία","1"
"Επείγοντα","2024-01-06","MORNING","NURSE","HEAD_NURSE","2"
"Επείγοντα","2024-01-06","MORNING","NURSE","NURSE","3"
"Επείγοντα","2024-01-06","MORNING","NURSE","NURSE_ASSISTANT","1"
"Επείγοντα","2024-01-06","MORNING","ADMINISTRATIVE","Γραμματέας","1"
"Επείγοντα","2024-01-06","MORNING","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-06","AFTERNOON","DOCTOR","Ορθοπεδική","1"
"Επείγοντα","2024-01-06","AFTERNOON","DOCTOR","Νεφρολογία","1"
"Επείγοντα","2024-01-06","AFTERNOON","DOCTOR","Αιματολογία","1"
"Επείγοντα","2024-01-06","AFTERNOON","NURSE","NURSE_ASSISTANT","2"
"Επείγοντα","2024-01-06","AFTERNOON","NURSE","HEAD_NURSE","2"
"Επείγοντα","2024-01-06","AFTERNOON","NURSE","NURSE","2"
"Επείγοντα","2024-01-06","AFTERNOON","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-06","AFTERNOON","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Επείγοντα","2024-01-06","NIGHT","DOCTOR","Νεφρολογία","1"
"Επείγοντα","2024-01-06","NIGHT","DOCTOR","Νευρολογία","1"
"Επείγοντα","2024-01-06","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-06","NIGHT","NURSE","NURSE_ASSISTANT","2"
"Επείγοντα","2024-01-06","NIGHT","NURSE","NURSE","4"
"Επείγοντα","2024-01-06","NIGHT","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-06","NIGHT","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-07","MORNING","DOCTOR","Παιδιατρική","1"
"Επείγοντα","2024-01-07","MORNING","DOCTOR","Ωτορινολαρυγγολογία","1"
"Επείγοντα","2024-01-07","MORNING","DOCTOR","Ουρολογία","1"
"Επείγοντα","2024-01-07","MORNING","NURSE","NURSE_ASSISTANT","3"
"Επείγοντα","2024-01-07","MORNING","NURSE","HEAD_NURSE","3"
"Επείγοντα","2024-01-07","MORNING","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Επείγοντα","2024-01-07","MORNING","ADMINISTRATIVE","Τεχνικός","1"
"Επείγοντα","2024-01-07","AFTERNOON","DOCTOR","Ενδοκρινολογία","1"
"Επείγοντα","2024-01-07","AFTERNOON","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-07","AFTERNOON","DOCTOR","Πνευμονολογία","1"
"Επείγοντα","2024-01-07","AFTERNOON","NURSE","NURSE_ASSISTANT","1"
"Επείγοντα","2024-01-07","AFTERNOON","NURSE","HEAD_NURSE","1"
"Επείγοντα","2024-01-07","AFTERNOON","NURSE","NURSE","4"
"Επείγοντα","2024-01-07","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Επείγοντα","2024-01-07","AFTERNOON","ADMINISTRATIVE","Διαχειριστής","1"
"Επείγοντα","2024-01-07","NIGHT","DOCTOR","Παιδιατρική","1"
"Επείγοντα","2024-01-07","NIGHT","DOCTOR","Οφθαλμολογία","1"
"Επείγοντα","2024-01-07","NIGHT","DOCTOR","Ουρολογία","1"
"Επείγοντα","2024-01-07","NIGHT","NURSE","NURSE","4"
"Επείγοντα","2024-01-07","NIGHT","NURSE","HEAD_NURSE","2"
"Επείγοντα","2024-01-07","NIGHT","ADMINISTRATIVE","Διαχειριστής","1"
"Επείγοντα","2024-01-07","NIGHT","ADMINISTRATIVE","Λογιστής","1"
"Καρδιολογία","2024-01-01","MORNING","DOCTOR","Καρδιολογία","1"
"Καρδιολογία","2024-01-01","MORNING","DOCTOR","Ενδοκρινολογία","1"
"Καρδιολογία","2024-01-01","MORNING","DOCTOR","Οφθαλμολογία","1"
"Καρδιολογία","2024-01-01","MORNING","NURSE","NURSE","1"
"Καρδιολογία","2024-01-01","MORNING","NURSE","NURSE_ASSISTANT","1"
"Καρδιολογία","2024-01-01","MORNING","NURSE","HEAD_NURSE","4"
"Καρδιολογία","2024-01-01","MORNING","ADMINISTRATIVE","Διαχειριστής","1"
"Καρδιολογία","2024-01-01","MORNING","ADMINISTRATIVE","Λογιστής","1"
